                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0574,                 3.9007,                 1.9664,                0.47472,                0.20486,                0.16256,                0.06693,                 2.1374,                 3.4461,                 2.0621,               0.070102,               0.003322,               0.003322
                      2,                 1.9039,                  3.067,                 1.8115,                0.42909,                0.09313,                0.05844,                0.02404,                 2.4945,                 3.7356,                 2.4226,               0.040036,              0.0065894,              0.0065894
                      3,                 1.9646,                 2.8382,                 1.8606,                0.26561,                0.36913,                 0.2716,                0.10092,                 2.1715,                 2.8521,                  2.163,              0.0099043,              0.0097909,              0.0097909
                      4,                 1.9654,                 2.7645,                 1.8752,                0.40582,                0.20858,                0.16705,                0.06799,                 2.3944,                 3.4219,                 2.4807,               0.009703,               0.009703,               0.009703
                      5,                 1.9196,                 2.6306,                 1.8532,                 0.2733,                0.34674,                0.27101,                 0.1149,                 2.1218,                 2.6198,                  2.114,               0.009703,               0.009703,               0.009703
                      6,                 1.8917,                 2.5606,                 1.8531,                0.29081,                0.19033,                 0.1227,                 0.0524,                  2.642,                 4.0204,                 2.8218,               0.009604,               0.009604,               0.009604
                      7,                 1.8513,                 2.4911,                 1.8447,                0.27742,                0.48228,                0.36753,                0.15773,                   1.93,                  2.395,                 1.9394,               0.009505,               0.009505,               0.009505
                      8,                 1.8178,                 2.4394,                 1.8198,                0.29297,                0.29567,                 0.1858,                0.07969,                 2.3748,                 3.4031,                 2.5421,               0.009406,               0.009406,               0.009406
                      9,                 1.8195,                 2.3809,                 1.7913,                0.51236,                0.44001,                0.37446,                0.16597,                 1.8887,                 2.2435,                 1.9364,               0.009307,               0.009307,               0.009307
                     10,                 1.8038,                 2.3501,                 1.7943,                0.31432,                0.35081,                0.28083,                0.11969,                 2.1409,                 2.8379,                 2.3121,               0.009208,               0.009208,               0.009208
                     11,                 1.7938,                 2.3241,                 1.7879,                0.37826,                0.41367,                0.36534,                 0.1601,                 2.0287,                 2.3073,                 2.0198,               0.009109,               0.009109,               0.009109
                     12,                 1.7693,                 2.2851,                 1.7654,                0.51875,                0.40995,                0.41679,                 0.1882,                 1.8887,                 2.1862,                 1.9413,                0.00901,                0.00901,                0.00901
